feature,importance
nitrogen_monoxide_mass_mixing_ratio_roll24_std,0.0009683914
dust_aerosol_055_09_mixing_ratio_cumsum,0.00096627517
hydrophilic_organic_matter_aerosol_mixing_ratio_cumstd,0.00096481043
hydrophobic_organic_matter_aerosol_mixing_ratio_cummin,0.00096425787
temperature_roll24_std,0.0009642384
carbon_monoxide_mass_mixing_ratio_roll24_max,0.00096223765
dust_aerosol_09_20_mixing_ratio_roll24_max,0.00096148776
seasalt_dust_ratio,0.0009605351
formaldehyde_roll12_min,0.0009520937
dust_aerosol_09_20_mixing_ratio_cummean,0.00095181045
ozone_mass_mixing_ratio_cumsum,0.00094598066
dust_aerosol_09_20_mixing_ratio_lag3,0.0009436473
temperature_roll12_mean,0.0009382105
metar_temperature_c_cumsum,0.00093806704
sea_salt_aerosol_003_05_mixing_ratio_roll12_max,0.0009377006
hydrophobic_black_carbon_aerosol_mixing_ratio_roll12_min,0.0009325188
metar_temperature_c_roll12_max,0.0009236263
nitrogen_monoxide_mass_mixing_ratio_roll3_min,0.00092174934
total_parking_minutes_roll24_std,0.00091502257
oh_roll24_min,0.0009120432
ozone_mass_mixing_ratio_ewm6,0.0009092365
carbon_monoxide_mass_mixing_ratio_cumsum,0.00090861233
metar_visibility_mi_cumstd,0.00090701284
temperature_roll24_min,0.00090413954
metar_hour_precipitation_ewm3,0.00089449325
ethane_roll24_mean,0.0008918304
dust_aerosol_09_20_mixing_ratio_cumsum,0.0008897752
sea_salt_aerosol_05_5_mixing_ratio_roll12_max,0.0008891415
isoprene_roll24_mean,0.00088605186
hydrophobic_black_carbon_aerosol_mixing_ratio_roll6_std,0.0008858751
metar_dew_point_c_cumsum,0.00088002684
hydrophilic_organic_matter_aerosol_mixing_ratio_cummean,0.00087984663
metar_hour_precipitation_ewm6,0.00087983266
organic_nitrates_roll24_std,0.0008773558
oh_roll12_max,0.0008759182
metar_visibility_mi_roll12_max,0.0008730109
hydrophobic_black_carbon_aerosol_mixing_ratio_roll12_mean,0.00086373446
hydrophobic_organic_matter_aerosol_mixing_ratio_lag6,0.00086355826
c3h8_roll12_std,0.00085973646
sulphur_dioxide_mass_mixing_ratio_roll12_mean,0.00085514365
hno3_roll12_mean,0.0008539035
metar_visibility_mi_diff3,0.0008530751
h2o2_cumstd,0.0008518267
h2o2_roll2_std,0.0008503278
c3h8_roll12_max,0.00084692973
temp_parking_interaction,0.00083854556
hydrophilic_black_carbon_aerosol_mixing_ratio_roll12_std,0.0008370024
nitrogen_dioxide_mass_mixing_ratio_roll24_mean,0.0008360155
metar_relative_humidity_ewm12,0.0008293354
hydrophilic_organic_matter_aerosol_mixing_ratio_cumsum,0.00082737405
hno3_roll6_max,0.00082695775
metar_wind_speed_kn_roll12_max,0.0008262867
sea_salt_aerosol_5_20_mixing_ratio_roll6_max,0.0008219319
metar_wind_speed_kn_roll6_max,0.0008194541
dust_aerosol_055_09_mixing_ratio_roll12_min,0.000818727
ozone_mass_mixing_ratio_ewm12,0.00081543106
isoprene_roll24_max,0.0008144975
c3h8_cumsum,0.00081391056
metar_wind_speed_kn_roll3_max,0.0008084548
hydrophobic_organic_matter_aerosol_mixing_ratio_cumsum,0.00080524554
temperature_pct_change1,0.00080448424
metar_temperature_c_cumstd,0.00080020877
metar_temperature_c_roll6_kurt,0.000798809
nitrogen_monoxide_mass_mixing_ratio_roll24_max,0.0007979039
ethane_cumsum,0.0007938087
sulphate_aerosol_mixing_ratio_roll6_max,0.0007933773
metar_hour_precipitation_roll24_std,0.0007914676
sulphate_aerosol_mixing_ratio_roll24_std,0.0007914188
total_parking_minutes_roll6_std,0.0007878325
sulphur_dioxide_mass_mixing_ratio_roll24_std,0.0007862544
total_parking_minutes_roll6_min,0.0007853495
metar_dew_point_c_diff1,0.00078366924
total_parking_minutes_roll12_min,0.00078326045
